rank,rank_change,prev_rank,country,player,member_id,points,tournaments,profile_link
95,1,96,MAS,GOH Soon Huat,92593,17200,10,https://bwf.tournamentsoftware.com/player-profile/10D0AFA0-14EB-4B8D-BA0E-CD2DAFE6B39D
96,3,99,NOR,Marius MYHRE,20711,17184,18,https://bwf.tournamentsoftware.com/player-profile/6C403B82-6A00-43B2-A3A4-64E9B06ABE30
97,1,98,NED,Nick FRANSMAN,48202,17020,15,https://bwf.tournamentsoftware.com/player-profile/81C9CBAE-2F13-4FBC-80D6-995A2F4289FA
98,-15,83,USA,Sattawat PONGNAIRAT,74872,16856,20,https://bwf.tournamentsoftware.com/player-profile/9B0B568A-E30E-450F-88CD-BF42B995E075
99,-2,97,MAS,SOO Teck Zhi,76106,16810,9,https://bwf.tournamentsoftware.com/player-profile/FCC9887C-DAFE-490C-808A-99EA6BD11EBE
100,0,100,CHN,HUANG Yu Xiang,71261,16610,5,https://bwf.tournamentsoftware.com/player-profile/08924E50-C41F-4E27-95DB-6B7F9086A0CF
101,0,101,FRA,Lucas CORVEE,89416,16596,18,https://bwf.tournamentsoftware.com/player-profile/7B7EE09F-8741-4D40-8DBA-B07DB4171894
102,0,102,SCO,Kieran MERRILEES,54204,16346,14,https://bwf.tournamentsoftware.com/player-profile/083EBA49-1466-4A0A-997B-9AB0CC318369
103,21,124,CAN,Martin GIUFFRE,42227,16317,14,https://bwf.tournamentsoftware.com/player-profile/08399D34-2FCD-4407-8FE6-F4DD9261CA1F
104,0,104,ITA,Rosario MADDALONI,15286,16133,18,https://bwf.tournamentsoftware.com/player-profile/69442DDA-6432-4391-88C4-F1763AA24DFD
105,-2,103,UKR,Valeriy ATRASHCHENKOV,52290,15950,12,https://bwf.tournamentsoftware.com/player-profile/E95DE1A1-2A58-4ED1-A71A-ED00D3DB9CC9
106,-1,105,BEL,Maxime MOREELS,25625,15890,23,https://bwf.tournamentsoftware.com/player-profile/DE33C888-230D-4E42-A67E-A44ED511969C
107,-1,106,SWE,Mattias BORG,67656,15550,16,https://bwf.tournamentsoftware.com/player-profile/9FB56A19-67DC-4485-9AC5-66F90F738506
108,-1,107,SUI,Iztok UTROSA,53872,15421,13,https://bwf.tournamentsoftware.com/player-profile/B72357FC-35D1-4C31-A855-D5FE08813CA4
109,27,136,UGA,Edwin EKIRING,52645,15330,13,https://bwf.tournamentsoftware.com/player-profile/96FCF986-7957-43E5-BA1E-6F3A2D840504
110,1,111,TPE,LU Chia Hung,91254,14950,8,https://bwf.tournamentsoftware.com/player-profile/0650EDCB-F77C-4177-94DE-70552ECBFE33
111,1,112,GUA,HUMBLERS HEYMARD,23996,14908,12,https://bwf.tournamentsoftware.com/player-profile/D9FDF505-8155-441C-8C60-A7D9907129CB
112,-4,108,SRI,Niluka KARUNARATNE,14004,14870,11,https://bwf.tournamentsoftware.com/player-profile/FA13F491-EAC9-4457-BC26-B09E97E073A5
113,-3,110,SUI,Jan FROHLICH,10565,14774,20,https://bwf.tournamentsoftware.com/player-profile/A403CA6E-7E58-492F-B880-3EB60E7D99F9
114,0,114,INA,Sony Dwi KUNCORO,50427,14690,9,https://bwf.tournamentsoftware.com/player-profile/5D5CBB33-58AF-4572-90B0-A081781698D4
115,0,115,JPN,Kenta NISHIMOTO,85394,14600,7,https://bwf.tournamentsoftware.com/player-profile/F652F6F8-48D5-4B3A-9A00-5E456A29B7C6
116,0,116,BUL,Blagovest KISYOV,15085,14492,17,https://bwf.tournamentsoftware.com/player-profile/58FD6FB6-8DBA-4B49-A1F1-9E4EE5D438AB
117,1,118,INA,Fikri Ihsandi HADMADI,86149,14350,10,https://bwf.tournamentsoftware.com/player-profile/460DC849-AE10-4DA6-B6F2-BDD681029227
118,-9,109,MAS,SOONG Joo Ven,87117,14330,9,https://bwf.tournamentsoftware.com/player-profile/455A4370-6B13-48A8-9C06-727A505A1DBB
119,0,119,NED,Mark CALJOUW,76973,14296,13,https://bwf.tournamentsoftware.com/player-profile/EFBE7D9C-9DFA-462B-8E08-311DB08F7A88
120,1,121,BRA,Alex Yuwan TJONG,73532,14210,13,https://bwf.tournamentsoftware.com/player-profile/7C4049A2-068B-4A8C-B45B-401D27BCF597
121,1,122,IND,Sameer VERMA,77003,14060,6,https://bwf.tournamentsoftware.com/player-profile/AA9D1A0B-2529-4B20-8421-7F31183EFA29
122,1,123,PER,Mario CUBA,54555,14042,12,https://bwf.tournamentsoftware.com/player-profile/2D6FFDF3-8FEA-4A69-A180-C2618E96B3AE
123,-10,113,RSA,Jacob MALIEKAL,38907,13884,11,https://bwf.tournamentsoftware.com/player-profile/719A82A7-EA67-44DD-9A4C-21B6F75F9BB1
124,-4,120,INA,Mahbub THOMI AZIZAN,62187,13650,10,https://bwf.tournamentsoftware.com/player-profile/6BAFF01E-45DD-4CCF-B79A-6215F39B8C73
125,1,126,KOR,KIM DongHun,99672,13570,6,https://bwf.tournamentsoftware.com/player-profile/58EC8BC3-2CB9-495E-A642-60A8FF249DE9
126,1,127,RUS,Anatoliy YARTSEV,60783,13520,16,https://bwf.tournamentsoftware.com/player-profile/0FDFC284-41DB-41A4-BF27-AA2D573A736E
127,1,128,PER,Andres CORPANCHO,13762,13507,13,https://bwf.tournamentsoftware.com/player-profile/E5860A82-E75B-4470-9137-064858472941
128,1,129,DEN,Kim BRUUN,96545,13480,14,https://bwf.tournamentsoftware.com/player-profile/F539208D-E7DA-471F-9449-40D186F714AD
129,1,130,HKG,CHAN Yan Kit,51306,13440,10,https://bwf.tournamentsoftware.com/player-profile/E0BC1E13-F583-4188-A186-3B542310627A
130,1,131,MEX,Lino MUNOZ,96461,13267,9,https://bwf.tournamentsoftware.com/player-profile/C0D66387-DB87-41AC-96FB-B4A9BC390C48
131,3,134,MAS,Beryno Jiann Tze WONG,52699,13030,15,https://bwf.tournamentsoftware.com/player-profile/4F24F3D7-D603-4DD3-AF43-193EAF07B4BB
132,3,135,IND,Subhankar DEY,60967,12950,9,https://bwf.tournamentsoftware.com/player-profile/94D292CA-AE2B-4386-8DD2-331432E2CC9F
133,4,137,ENG,Rhys WALKER,64936,12860,15,https://bwf.tournamentsoftware.com/player-profile/922AE485-6179-4B37-B41B-79C275506431
134,5,139,SVK,Jarolim VICEN,55330,12813,18,https://bwf.tournamentsoftware.com/player-profile/CFE949B7-02A7-4CDB-85AF-B28842BD3E70
135,5,140,AUS,Daniel GUDA,90603,12777,10,https://bwf.tournamentsoftware.com/player-profile/F2A59ADB-1220-42B8-9123-A00EE8B114BD
136,-11,125,MAS,TAN Kian Meng,67654,12690,8,https://bwf.tournamentsoftware.com/player-profile/5E3C1F2C-F682-418D-AB80-C8AB65AA49F1
137,-20,117,GER,Dieter DOMKE,51886,12675,9,https://bwf.tournamentsoftware.com/player-profile/C0191871-4A43-4B8D-BCA9-330300CDBC06
138,3,141,TUR,Emre VURAL,95196,12670,20,https://bwf.tournamentsoftware.com/player-profile/B95FF14C-397A-4835-8DCF-EF72C28FC682
