rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1124,EST,Liisa-Lotta TANNIK,-1,6 - 12,0,220 / 3,https://bwfbadminton.com/player/83520/liisa-lotta-tannik,83520
1125,DEN,Emilie MELGAARD,-1,1 - 1,0,210 / 1,https://bwfbadminton.com/player/68481/emilie-melgaard,68481
1125,TPE,LEE Yu-Hsuan,-1,3 - 4,0,210 / 1,https://bwfbadminton.com/player/75174/lee-yu-hsuan,75174
1125,BHU,Rinzin WANGMO,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/74818/rinzin-wangmo,74818
1125,NEP,Samjhana SHARMA,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/58789/samjhana-sharma,58789
1125,BHU,Eden EDEN,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/70998/eden-eden,70998
1125,NEP,Rasila MAHARJAN,-1,1 - 7,0,210 / 1,https://bwfbadminton.com/player/90039/rasila-maharjan,90039
1125,BHU,Thinley WANGMO,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/56442/thinley-wangmo,56442
1125,NEP,Sita RAI,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/85397/sita-rai,85397
1125,TUR,Ece Sare BASAKIN,-1,4 - 3,0,210 / 1,https://bwfbadminton.com/player/63625/ece-sare-basakin,63625
1125,IND,Mrunmayi SAOJI,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/94118/mrunmayi-saoji,94118
1125,IND,Meghana Reddy MAREDDY,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/75837/meghana-reddy-mareddy,75837
1125,IND,Shivani Vaishnavi Devi GANGULA,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/95845/shivani-vaishnavi-devi-gangula,95845
1125,IND,Varshini VISWANATH SRI,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/97060/varshini-viswanath-sri,97060
1125,EGY,Farah MOSTAFA,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/57692/farah-mostafa,57692
1125,EGY,Jana HESHAM MOHAMED ABDELKADER,-1,3 - 3,0,210 / 1,https://bwfbadminton.com/player/95812/jana-hesham-mohamed-abdelkader,95812
1125,UZB,Sevinch SODIKOVA,-1,5 - 4,0,210 / 1,https://bwfbadminton.com/player/56877/sevinch-sodikova,56877
1125,EGY,Mennatallah ASHRAF SAID MOHAMED,-1,2 - 2,0,210 / 1,https://bwfbadminton.com/player/83140/mennatallah-ashraf-said-mohamed,83140
1125,MAS,Florence Sin Yee SAW,-1,0 - 3,0,210 / 1,https://bwfbadminton.com/player/89363/florence-sin-yee-saw,89363
1125,MAS,TANG Wen Xin,-1,0 - 1,0,210 / 1,https://bwfbadminton.com/player/98613/tang-wen-xin,98613
1125,MAS,Nur Ernisa Alya ZAINAL ABIDIN,-1,0 - 1,0,210 / 1,https://bwfbadminton.com/player/88838/nur-ernisa-alya-zainal-abidin,88838
1125,MAS,Nursyafiqah REGUIL,-1,0 - 0,0,210 / 1,https://bwfbadminton.com/player/62287/nursyafiqah-reguil,62287
1125,MAS,Wei Ying BOON,-1,1 - 1,0,210 / 1,https://bwfbadminton.com/player/76894/wei-ying-boon,76894
