rank,rank_change,prev_rank,country,player1,player2,member_id1,member_id2,points,tournaments,profile_link1,profile_link2
39,7,46,INA/INA,Shendy Puspa IRAWATI,Nitya Krishinda MAHESWARI,15813,54272,22902,8,https://bwf.tournamentsoftware.com/player-profile/4E8DFE1D-75EC-4E3A-9F38-B51D1A18FCAA,https://bwf.tournamentsoftware.com/player-profile/D1B4EEB6-3448-4171-9D51-5FAF42BB6D3E
40,2,42,RUS/RUS,Tatjana BIBIK,Olga ARKHANGELSKAYA,51261,8558,21607,9,https://bwf.tournamentsoftware.com/player-profile/2514A6DE-D8AB-4B65-9340-C2389C19C1CC,https://bwf.tournamentsoftware.com/player-profile/1BB0FFFD-046B-4A8B-98D4-FCC07BC57906
41,-1,40,MAS/MAS,Vivian HOO,WOON Khe Wei,54149,53154,21353,7,https://bwf.tournamentsoftware.com/player-profile/6F73C2D0-E610-4B9A-85C9-D176DF389E1E,https://bwf.tournamentsoftware.com/player-profile/F96A451E-D8FC-4618-AB5D-5565E06BEA0A
42,-3,39,INA/INA,Komala DEWI,Keshya Nurvita HANADIA,67017,17156,21060,7,https://bwf.tournamentsoftware.com/player-profile/9401F535-14B0-41C1-A319-E3F5B03F2331,https://bwf.tournamentsoftware.com/player-profile/297F7487-7DE7-4B96-B69A-5ACD06D5D414
43,-2,41,PER/PER,Katherine WINDER,Claudia ZORNOZA,54561,52353,21042,10,https://bwf.tournamentsoftware.com/player-profile/7045A784-7A9B-4A98-8C91-8C7EC49E17CB,https://bwf.tournamentsoftware.com/player-profile/D96C4CCE-867B-4E41-8A44-81A139E27170
44,1,45,INA/INA,Della Destiara HARIS,Suci Rizky ANDINI,66961,10389,20630,6,https://bwf.tournamentsoftware.com/player-profile/1B88FCF6-4872-49D1-B71D-162E6CCB2F65,https://bwf.tournamentsoftware.com/player-profile/11968FEB-7F38-4C5D-B6FF-5E21913989B1
45,-2,43,CAN/CAN,Grace GAO,Joycelyn KO,15984,53877,20380,9,https://bwf.tournamentsoftware.com/player-profile/6A90834B-25AC-4477-9795-C8A1DC6B048C,https://bwf.tournamentsoftware.com/player-profile/5DF9B49F-5CA8-40CD-9F8B-06E4B69DEC0C
46,-2,44,AUS/AUS,He Tian TANG,Renuga VEERAN,4956,15717,19770,8,https://bwf.tournamentsoftware.com/player-profile/87B0F4BA-B9E3-4FBC-B806-27C1A64C981E,https://bwf.tournamentsoftware.com/player-profile/AFB4AA50-B517-42E0-B9E5-91003C5DFFAA
47,0,47,TPE/TPE,HSIEH Pei Chen,WANG Pei Rong,52998,52997,19360,7,https://bwf.tournamentsoftware.com/player-profile/BD0C7DB2-1FA8-4F50-9E5B-FDFE23B843BA,https://bwf.tournamentsoftware.com/player-profile/A8AAF8AF-37BF-4878-94F6-77CC00C10C76
48,0,48,KOR/KOR,HA Jung Eun,JUNG Kyung Eun,15412,16745,18722,5,https://bwf.tournamentsoftware.com/player-profile/8C2E8CD1-01C5-4CDA-9D3A-5F2846F477B1,https://bwf.tournamentsoftware.com/player-profile/0CDB0F6A-A460-4150-A963-8D8EABA4CF26
49,14,63,MAS/MAS,Hui Ern NG,Hui Lin NG,54801,53149,18700,6,https://bwf.tournamentsoftware.com/player-profile/B6160A77-3BC2-4D12-A3C0-34CCC210FDA7,https://bwf.tournamentsoftware.com/player-profile/AAC95C1F-B643-4A78-AE3B-C8263E1F3B97
50,-1,49,DEN/DEN,Lena FRIER KRISTIANSEN,Kamilla Rytter JUHL,14992,51436,18433,3,https://bwf.tournamentsoftware.com/player-profile/3CA8ABC8-346B-409C-B3E9-A43E801DD8DD,https://bwf.tournamentsoftware.com/player-profile/20637175-FA61-41DB-9DA9-2A9127D65E2E
51,-1,50,CHN/CHN,WANG Xiaoli,YU Yang (F),14393,51667,18400,2,https://bwf.tournamentsoftware.com/player-profile/2F7C0DD5-7428-4118-8D32-2B3359B135D3,https://bwf.tournamentsoftware.com/player-profile/740D0C46-DB36-4F42-BB3C-0E0C592CE7B7
52,7,59,DEN/DEN,Lena FRIER KRISTIANSEN,Marie ROEPKE,14992,54447,18326,8,https://bwf.tournamentsoftware.com/player-profile/3CA8ABC8-346B-409C-B3E9-A43E801DD8DD,https://bwf.tournamentsoftware.com/player-profile/6B50A775-A757-49AF-AAAF-44B93A0FB815
53,-2,51,TPE/TPE,CHIEN Yu Chin,WANG Pei Rong,9846,52997,18224,5,https://bwf.tournamentsoftware.com/player-profile/FF9882EF-C14B-414D-ACB7-A3521DB0E2F4,https://bwf.tournamentsoftware.com/player-profile/A8AAF8AF-37BF-4878-94F6-77CC00C10C76
54,-2,52,DEN/DEN,Helle NIELSEN,Marie ROEPKE,50295,54447,18183,6,https://bwf.tournamentsoftware.com/player-profile/C54D32BD-B95B-49EC-841A-4BCCB9D8AD08,https://bwf.tournamentsoftware.com/player-profile/6B50A775-A757-49AF-AAAF-44B93A0FB815
55,-2,53,KOR/KOR,KIM Min Jung,PARK Sun Young,53333,59590,18100,5,https://bwf.tournamentsoftware.com/player-profile/E58CDFBC-7E6B-4021-8F7B-32E22E7A533B,https://bwf.tournamentsoftware.com/player-profile/3DCA432B-E603-4673-9284-2B2E4D97DF90
56,-1,55,UKR/UKR,Maria ULITINA,Natalya VOYTSEKH,76349,76910,16990,7,https://bwf.tournamentsoftware.com/player-profile/07455DFA-D0F7-4F83-89EA-2ABFBF17FDF8,https://bwf.tournamentsoftware.com/player-profile/AB53C84F-48C7-44B5-A5B5-5817366550EE
57,7,64,SGP/SGP,Jiayuan CHEN,Juan GU,54698,53782,16970,10,https://bwf.tournamentsoftware.com/player-profile/FC6C7B17-1DF0-4F7C-98D7-5E01B0771FC4,https://bwf.tournamentsoftware.com/player-profile/1B38E89D-6E83-4B8F-A251-C513A0056F6E
58,-2,56,SGP/SGP,Yu Yan Vanessa NEO,Mingtian FU,14297,53788,16792,10,https://bwf.tournamentsoftware.com/player-profile/D343E9B3-BC83-4183-A97C-768DE48253D4,https://bwf.tournamentsoftware.com/player-profile/AC1BA2EF-3EE2-4C07-B169-7340B47E432D
